TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,OXXO,Seven-Eleven,Supers,Farmacias,Abarrotes,Cafeterías,Usados,Otros,PORCENTAJE_CUMPLIMIENTO,index_right,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,LLAVE_AGEB,Llave,P_18A24,PROM_HNV,VIVPAR_UT,PSINDER,VIVTOT,TOTHOG,PDER_SS,GRAPROES,POBTOT,P_60YMAS,P_18YMAS,llaveEnt
125,1,BC,Hogar,141.9,10.0,6.0,25.69017,-100.25164,Clásico,UT_TRAFICO_VEHICULAR,1,0,0,0,0,0,0,0,3.0540093683187566,1298.0,1902600010181,19,026,0001,0181,1902600010181,02600010181,282.0,41.04,3.0,270.0,1222.0,1110.0,2840.0,12.62652174,3122.0,998.0,2630.0,1902600010181
279,1,C,Hogar,104.2,13.0,12.0,25.67484,-100.24412,Hogar Reunión,UT_DENSIDAD,1,0,0,0,3,0,0,0,2.377194241982508,1271.0,1902600011419,19,026,0001,1419,1902600011419,02600011419,651.0,71.01,27.0,974.0,1900.0,1728.0,4688.0,12.10666667,5666.0,1456.0,4674.0,1902600011419
127,1,BC,Hogar,132.0,12.0,5.0,25.66474,-100.20913,Hogar Reunión,UT_GAS_URBANA,1,0,0,0,6,0,0,0,1.8442852128279887,1274.0,1902600011584,19,026,0001,1584,1902600011584,02600011584,968.0,92.69,10.0,2310.0,2372.0,2188.0,6192.0,8.417631579,8510.0,1790.0,6430.0,1902600011584
706,1,C,Hogar,120.87,13.0,9.076827797623071,25.73785,-100.20217,Hogar Reunión,UT_DENSIDAD,1,0,0,0,0,1,0,0,1.714699003887269,103.0,1900600010244,19,006,0001,0244,1900600010244,00600010244,24.0,9.23,0.0,60.0,44.0,36.0,115.0,5.254285714,180.0,26.0,128.0,1900600010244
129,1,BC,Base,83.99,13.0,10.0,25.6808,-100.24372,Hogar Reunión,UT_TRAFICO_VEHICULAR,2,1,0,0,0,1,0,1,1.8069601765873016,1255.0,1902600010321,19,026,0001,0321,1902600010321,02600010321,1044.0,82.36,83.0,1817.0,3718.0,3270.0,8494.0,11.1575,10318.0,2966.0,8566.0,1902600010321
268,1,C,Base,121.2,13.0,9.0,25.69481,-100.23052,Clásico,UT_GAS_URBANA,1,0,0,0,0,0,0,2,2.856641704,1267.0,190260001132A,19,026,0001,132A,190260001132A,0260001132A,592.0,39.69,156.0,745.0,2464.0,1948.0,4660.0,10.80885714,5426.0,973.0,4525.0,190260001132A
131,1,BC,Hogar,99.65,12.0,8.0,25.64911,-100.26649,Clásico,UT_DENSIDAD,1,0,0,0,0,0,0,0,1.8020026132167155,1385.0,1902600011160,19,026,0001,1160,1902600011160,02600011160,726.0,65.9,0.0,915.0,2450.0,2309.0,6196.0,13.33408163,7136.0,1591.0,5992.0,1902600011160
716,1,C,Hogar,121.21,13.0,9.092499366382874,25.7105,-100.21547,Hogar Reunión,UT_DENSIDAD,1,0,0,0,3,0,0,0,2.468726895043732,1219.0,1902600010124,19,026,0001,0124,1902600010124,02600010124,544.0,82.3,12.0,970.0,1906.0,1669.0,4354.0,9.362291667,5330.0,1498.0,4379.0,1902600010124
722,1,C,Base,118.3,13.0,8.958369174938692,25.69569,-100.24609,Oficinistas,UT_TRAFICO_VEHICULAR,1,0,0,0,2,2,0,0,2.4631372480158733,1294.0,1902600010196,19,026,0001,0196,1902600010196,02600010196,286.0,42.0,9.0,401.0,1188.0,1051.0,2707.0,11.82269231,3114.0,969.0,2637.0,1902600010196
726,1,C,Hogar,113.96,13.0,8.758326209004759,25.72278,-100.15421,Hogar Reunión,UT_DENSIDAD,0,0,0,0,2,0,0,0,2.0894998620019427,271.0,1900600012429,19,006,0001,2429,1900600012429,00600012429,452.0,51.43,7.0,909.0,2154.0,1872.0,5640.0,12.04864865,6566.0,170.0,4044.0,1900600012429
135,1,BC,Hogar,124.5,12.0,7.0,25.69272,-100.25433,Clásico,UT_DENSIDAD,1,0,0,0,1,7,0,0,3.769076990281828,1297.0,1902600010162,19,026,0001,0162,1902600010162,02600010162,329.0,53.99,9.0,464.0,1354.0,1144.0,2782.0,12.8325,3248.0,946.0,2780.0,1902600010162
663,1,C,Base,115.76,13.0,8.841293337733118,25.71882,-100.16863,Hogar Reunión,UT_TRAFICO_VEHICULAR,2,0,0,0,1,0,0,2,0.946274832,199.0,1900600011543,19,006,0001,1543,1900600011543,00600011543,1118.0,49.64,70.0,1086.0,2522.0,2150.0,6762.0,9.737435897,7852.0,236.0,5420.0,1900600011543
639,1,C,Hogar,113.85,13.0,8.753255996,25.71143,-100.15224,Hogar Reunión,UT_DENSIDAD,1,0,0,0,4,2,0,2,2.296437417881438,238.0,1900600012039,19,006,0001,2039,1900600012039,00600012039,640.0,27.58,3.0,830.0,1598.0,1452.0,4528.0,8.831,5368.0,177.0,3410.0,1900600012039
642,1,C,Receso,88.39,13.0,7.579732052569115,25.70438,-100.22197,Oficinistas,UT_TRAFICO_PEATONAL,0,0,0,0,1,0,0,0,1.1838724612403102,1296.0,190260001011A,19,026,0001,011A,190260001011A,0260001011A,628.0,71.33,26.0,822.0,2218.0,1986.0,5374.0,9.517173913,6230.0,1632.0,5002.0,190260001011A
299,1,C,Hogar,94.0,10.0,9.0,25.68426,-100.21374,Hogar Reunión,UT_TRAFICO_VEHICULAR,2,0,0,0,8,2,0,0,1.835189635568513,1259.0,1902600010389,19,026,0001,0389,1902600010389,02600010389,740.0,87.9,28.0,1378.0,2248.0,1998.0,5590.0,9.237435897,6970.0,1618.0,5598.0,1902600010389
298,1,C,Peatonal,103.3,13.0,5.0,25.67933,-100.24593,Oficinistas,UT_TRAFICO_PEATONAL,1,1,0,0,0,0,0,2,2.243414842403628,1271.0,1902600011419,19,026,0001,1419,1902600011419,02600011419,651.0,71.01,27.0,974.0,1900.0,1728.0,4688.0,12.10666667,5666.0,1456.0,4674.0,1902600011419
644,1,C,Base,105.69,13.0,8.377138345,25.7036,-100.15854,Hogar Reunión,UT_TRAFICO_PEATONAL,1,0,0,0,1,1,0,0,1.2811556081349205,1381.0,1902600012883,19,026,0001,2883,1902600012883,02600012883,319.0,62.36,22.0,491.0,2738.0,1809.0,4875.0,10.98746667,5386.0,97.0,3794.0,1902600012883
296,1,C,Hogar,86.0,13.0,5.0,25.66105,-100.25257,Clásico,UT_GAS_URBANA,1,0,0,0,0,0,0,1,2.6985096384839653,1368.0,1902600011758,19,026,0001,1758,1902600011758,02600011758,550.0,29.69,24.0,722.0,1398.0,1260.0,3476.0,12.89904762,4210.0,816.0,3510.0,1902600011758
652,1,C,Base,113.23,14.0,8.583631246153049,25.65635,-100.26234,Clásico,UT_TRAFICO_VEHICULAR,1,0,0,0,0,1,0,0,1.6279820744047615,1323.0,1902600012012,19,026,0001,2012,1902600012012,02600012012,457.0,49.89,4.0,523.0,1452.0,1322.0,3914.0,12.978,4454.0,1200.0,3720.0,1902600012012
653,1,C,Hogar,112.09,13.0,8.672132580825853,25.69885,-100.12075,Clásico,UT_DENSIDAD,0,0,0,0,1,0,0,0,1.5088354776482025,306.0,1900600013041,19,006,0001,3041,1900600013041,00600013041,148.0,17.5,73.0,208.0,796.0,532.0,1482.0,12.7525,1692.0,35.0,1152.0,1900600013041
292,1,C,Hogar,114.0,13.0,11.0,25.72188,-100.20232,Hogar Reunión,UT_GAS_URBANA,1,0,1,0,2,1,0,0,2.867922341107872,1360.0,1902600010961,19,026,0001,0961,1902600010961,02600010961,450.0,17.7,14.0,408.0,930.0,852.0,2298.0,10.11,2706.0,300.0,2172.0,1902600010961
291,1,C,Hogar,108.91,13.0,10.0,25.68419,-100.24388,Hogar Reunión,UT_DENSIDAD,1,1,0,0,1,2,0,1,2.7301387755102047,1255.0,1902600010321,19,026,0001,0321,1902600010321,02600010321,1044.0,82.36,83.0,1817.0,3718.0,3270.0,8494.0,11.1575,10318.0,2966.0,8566.0,1902600010321
731,1,C,Base,117.97,15.0,8.661064168936964,25.67493,-100.20706,Hogar Reunión,UT_GAS_URBANA,1,1,0,0,1,0,0,0,1.7193928373015874,1400.0,1902600012239,19,026,0001,2239,1902600012239,02600012239,630.0,66.59,7.0,1062.0,1638.0,1467.0,4255.0,9.015333333,5328.0,971.0,4054.0,1902600012239
289,1,C,Hogar,114.04,13.0,9.0,25.70314,-100.23122,Hogar Reunión,UT_GAS_URBANA,2,0,0,0,1,0,0,0,1.4678792419825075,1350.0,1902600011870,19,026,0001,1870,1902600011870,02600011870,632.0,48.47,41.0,949.0,2782.0,2369.0,5581.0,13.365625,6542.0,1536.0,5535.0,1902600011870
288,1,D,Base,104.0,13.0,11.0,25.67442,-100.20493,Hogar Reunión,UT_TRAFICO_VEHICULAR,2,1,0,0,0,0,0,1,1.7709740843253967,1266.0,1902600011461,19,026,0001,1461,1902600011461,02600011461,655.0,84.15,46.0,1070.0,2122.0,1872.0,5380.0,8.832142857,6454.0,1366.0,4988.0,1902600011461
667,1,C,Hogar,122.19,13.0,9.137670358690537,25.73719,-100.15527,Hogar Reunión,UT_DENSIDAD,1,0,3,0,1,0,0,0,2.053706633624879,208.0,1900600011632,19,006,0001,1632,1900600011632,00600011632,1698.0,63.78,25.0,1666.0,3510.0,3114.0,10134.0,9.806956522,11862.0,303.0,7742.0,1900600011632
668,1,C,Hogar,93.08,13.0,7.795907515755786,25.72812,-100.18563,Hogar Reunión,UT_DENSIDAD,1,0,0,0,7,0,0,2,2.1232920573372205,1190.0,1902600011279,19,026,0001,1279,1902600011279,02600011279,1012.0,77.58,3.0,2176.0,2258.0,2172.0,6466.0,8.288571429,8648.0,1461.0,6334.0,1902600011279
285,1,A,Hogar,130.46,13.0,7.0,25.64192,-100.26826,Clásico,UT_DENSIDAD,1,0,0,0,1,0,0,0,4.357422850340137,1324.0,1902600012084,19,026,0001,2084,1902600012084,02600012084,286.0,44.14,5.0,253.0,1032.0,974.0,2644.0,10.19028571,2922.0,1032.0,2552.0,1902600012084
671,1,C,Base,114.21,13.0,8.769849421328141,25.67863,-100.26725,Hogar Reunión,UT_TRAFICO_VEHICULAR,1,0,0,0,3,1,0,3,2.281534358134921,1334.0,1902600010285,19,026,0001,0285,1902600010285,02600010285,641.0,78.86,19.0,1036.0,2084.0,1820.0,4641.0,10.06589744,5688.0,1224.0,4614.0,1902600010285
674,1,C,Hogar,114.34,13.0,8.775841491736301,25.69528,-100.20643,Hogar Reunión,UT_DENSIDAD,2,0,0,0,11,0,0,4,2.0497962857142857,1225.0,1902600010251,19,026,0001,0251,1902600010251,02600010251,1341.0,136.11,34.0,2939.0,3294.0,3014.0,9183.0,7.855263158,12144.0,1985.0,8745.0,1902600010251
281,1,BC,Hogar,121.54,13.0,8.0,25.69659,-100.25507,Hogar Reunión,UT_DENSIDAD,1,0,0,0,2,0,0,1,3.7396739591836736,1297.0,1902600010162,19,026,0001,0162,1902600010162,02600010162,329.0,53.99,9.0,464.0,1354.0,1144.0,2782.0,12.8325,3248.0,946.0,2780.0,1902600010162
677,1,C,Hogar,110.81,13.0,8.613133733730129,25.68325,-100.23067,Parada Técnica,UT_DENSIDAD,1,2,0,0,4,0,0,1,1.1658728309037902,1257.0,1902600010340,19,026,0001,0340,1902600010340,02600010340,894.0,141.32,27.0,1736.0,3298.0,2966.0,8280.0,9.893823529,10018.0,2900.0,8130.0,1902600010340
834,1,C,Hogar,101.33,13.0,8.176173522427435,25.70647,-100.22508,Hogar Reunión,UT_DENSIDAD,1,1,0,0,0,2,0,0,1.2500607159863946,1350.0,1902600011870,19,026,0001,1870,1902600011870,02600011870,632.0,48.47,41.0,949.0,2782.0,2369.0,5581.0,13.365625,6542.0,1536.0,5535.0,1902600011870
792,1,C,Peatonal,87.25,9.357178050838671,6.728677801246499,25.67762,-100.25978,Oficinistas,UT_TRAFICO_PEATONAL,2,1,0,0,1,5,0,2,1.6681946428571428,1243.0,190260001029A,19,026,0001,029A,190260001029A,0260001029A,415.0,75.32,27.0,610.0,1500.0,1258.0,2981.0,10.98086957,3618.0,909.0,3021.0,190260001029A
164,1,CD,Base,18.72,12.0,9.0,25.73369,-100.19908,Hogar Reunión,UT_GAS_URBANA,1,0,1,0,3,0,0,0,2.213719305555556,105.0,1900600010278,19,006,0001,0278,1900600010278,00600010278,81.0,10.32,0.0,166.0,298.0,273.0,804.0,9.615,972.0,33.0,642.0,1900600010278
231,1,CD,Hogar,116.5,13.0,9.0,25.70295,-100.25852,Hogar Reunión,UT_GAS_URBANA,3,0,0,0,0,0,0,1,2.375717223517979,1245.0,1902600011885,19,026,0001,1885,1902600011885,02600011885,330.0,50.09,7.0,623.0,1366.0,1236.0,3249.0,10.05741935,3888.0,989.0,3189.0,1902600011885
823,1,C,Hogar,108.66,11.43970905794819,8.300448554669824,25.66404,-100.23363,Hogar Reunión,UT_DENSIDAD,0,0,0,0,5,2,0,0,1.5155212911564626,1265.0,1902600011546,19,026,0001,1546,1902600011546,02600011546,750.0,75.85,5.0,1043.0,2422.0,2226.0,6376.0,10.00368421,7430.0,1740.0,6064.0,1902600011546
824,1,C,Hogar,97.92,10.395039136586387,7.511993726,25.7371,-100.16613,Hogar Reunión,UT_DENSIDAD,0,0,0,0,2,0,0,0,1.1691956577708007,107.0,190060001030A,19,006,0001,030A,190060001030A,0060001030A,1128.0,84.48,51.0,1230.0,2610.0,2222.0,6990.0,8.826842105,8268.0,320.0,5468.0,190060001030A
182,1,BC,Hogar,111.9,13.0,5.0,25.68312,-100.2139,Hogar Reunión,UT_DENSIDAD,2,0,0,0,6,2,0,0,3.2122757764820213,1224.0,1902600011391,19,026,0001,1391,1902600011391,02600011391,757.0,83.63,13.0,1250.0,2380.0,2190.0,6242.0,8.185952381,7494.0,2072.0,5756.0,1902600011391
223,1,BC,Hogar,128.96,12.0,9.0,25.66976,-100.23605,Hogar Reunión,UT_GAS_URBANA,2,0,0,0,2,1,0,0,2.818695293488824,1392.0,1902600012506,19,026,0001,2506,1902600012506,02600012506,404.0,48.18,0.0,568.0,1112.0,1062.0,3176.0,9.431923077,3750.0,894.0,2988.0,1902600012506
828,1,C,Hogar,117.39685887587756,12.0,9.05778801,25.6678,-100.2209,Hogar Reunión,UT_DENSIDAD,0,0,0,0,7,3,0,0,1.0795103653061224,1300.0,1902600010603,19,026,0001,0603,1902600010603,02600010603,355.0,50.92,14.0,724.0,1050.0,892.0,2536.0,9.344782609,3264.0,690.0,2586.0,1902600010603
832,1,C,Hogar,66.04,7.2941008597694115,5.171589633095695,25.66925,-100.237,Hogar Reunión,UT_DENSIDAD,1,0,0,0,4,1,0,1,1.0120831897959184,1292.0,1902600011531,19,026,0001,1531,1902600011531,02600011531,784.0,93.9,16.0,1086.0,2350.0,2164.0,6096.0,11.2738,7188.0,1629.0,5716.0,1902600011531
245,1,D,Hogar,116.0,10.0,8.0,25.73065,-100.18657,Hogar Reunión,UT_DENSIDAD,1,0,0,0,3,1,0,0,1.880231619047619,194.0,1900600011492,19,006,0001,1492,1900600011492,00600011492,496.0,32.29,53.0,525.0,1158.0,960.0,2922.0,10.37875,3450.0,147.0,2404.0,1900600011492
188,1,BC,Receso,95.3,13.0,7.0,25.68763,-100.24615,Parada Técnica,UT_GAS_URBANA,1,0,0,0,0,0,0,0,1.5289610299003324,1255.0,1902600010321,19,026,0001,0321,1902600010321,02600010321,1044.0,82.36,83.0,1817.0,3718.0,3270.0,8494.0,11.1575,10318.0,2966.0,8566.0,1902600010321
191,1,CD,Receso,131.5,11.0,9.848889151348194,25.69273,-100.24576,Clásico,UT_GAS_URBANA,1,0,0,0,2,1,0,1,0.906468901,1294.0,1902600010196,19,026,0001,0196,1902600010196,02600010196,286.0,42.0,9.0,401.0,1188.0,1051.0,2707.0,11.82269231,3114.0,969.0,2637.0,1902600010196
847,1,C,Hogar,100.4,13.0,8.133307172584448,25.71567,-100.1601,Hogar Reunión,UT_GAS_URBANA,0,0,0,0,0,0,0,0,0.5108959981447124,286.0,1900600012734,19,006,0001,2734,1900600012734,00600012734,104.0,21.8,0.0,207.0,632.0,580.0,1712.0,13.62411765,1922.0,37.0,1226.0,1900600012734
193,1,CD,Hogar,95.54,10.0,9.0,25.73871,-100.18913,Hogar Reunión,UT_DENSIDAD,1,0,1,0,6,5,0,0,2.0851453104956272,258.0,190060001226A,19,006,0001,226A,190060001226A,0060001226A,1514.0,59.44,51.0,1431.0,3060.0,2566.0,7622.0,10.08954545,9056.0,644.0,6840.0,190060001226A
212,1,CD,Base,134.24,12.0,10.0,25.69344,-100.1831,Parada Técnica,UT_CARRETERA_GAS,2,0,0,0,1,0,0,0,3.699666742063491,1411.0,1902600011067,19,026,0001,1067,1902600011067,02600011067,1098.0,77.32,4.0,1976.0,2778.0,2498.0,6512.0,8.602553191,8504.0,895.0,6368.0,1902600011067
211,1,C,Hogar,127.62,12.0,11.0,25.74447,-100.17476,Hogar Reunión,UT_DENSIDAD,1,0,1,0,3,1,0,0,2.6340609893100093,189.0,190060001144A,19,006,0001,144A,190060001144A,0060001144A,1522.0,84.19,24.0,1666.0,4016.0,3428.0,10795.0,9.956333333,12478.0,627.0,8467.0,190060001144A
199,1,CD,Base,113.0,11.0,11.0,25.72332,-100.19058,Hogar Reunión,UT_TRAFICO_VEHICULAR,2,1,0,0,3,0,0,1,1.484155773809524,1185.0,1902600011832,19,026,0001,1832,1902600011832,02600011832,981.0,62.07,24.0,1062.0,2386.0,2154.0,6458.0,9.938461538,7528.0,770.0,5590.0,1902600011832
873,1,C,Receso,58.12,6.523729744575231,4.590159256,25.69741,-100.13975,Parada Técnica,UT_TRAFICO_VEHICULAR,0,0,0,0,0,0,0,0,0.3553557751937984,1378.0,1902600012900,19,026,0001,2900,1902600012900,02600012900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1902600012900
254,1,C,Hogar,113.0,12.0,7.0,25.66872,-100.2344,Hogar Reunión,UT_GAS_URBANA,4,1,0,0,0,2,0,0,1.98755459,1292.0,1902600011531,19,026,0001,1531,1902600011531,02600011531,784.0,93.9,16.0,1086.0,2350.0,2164.0,6096.0,11.2738,7188.0,1629.0,5716.0,1902600011531
735,1,C,Hogar,83.57,12.0,7.498611701841717,25.71611,-100.18296,Hogar Reunión,UT_DENSIDAD,1,0,0,0,9,3,0,1,2.642277840621963,108.0,1900600010348,19,006,0001,0348,1900600010348,00600010348,1889.0,133.34,27.0,2119.0,4988.0,4494.0,13622.0,10.59241379,15754.0,1189.0,11224.0,1900600010348
746,1,C,Hogar,104.1,15.0,8.021756349235657,25.6867,-100.19352,Hogar Reunión,UT_DENSIDAD,1,1,0,0,2,2,0,1,1.383196628765792,1218.0,1902600011955,19,026,0001,1955,1902600011955,02600011955,896.0,65.45,22.0,1491.0,2280.0,1928.0,5652.0,8.745531915,7164.0,421.0,4909.0,1902600011955
141,1,BC,Hogar,98.5,11.0,6.0,25.68098,-100.23912,Hogar Reunión,UT_DENSIDAD,1,0,0,0,1,3,0,0,2.721935338,1390.0,1902600010478,19,026,0001,0478,1902600010478,02600010478,772.0,55.92,19.0,1418.0,2408.0,2100.0,5484.0,9.530645161,6902.0,1372.0,5510.0,1902600010478
259,1,C,Base,99.08,10.0,8.49560616,25.67765,-100.2596,Oficinistas,UT_TRAFICO_PEATONAL,2,1,0,0,1,6,0,2,1.3285285426587303,1243.0,190260001029A,19,026,0001,029A,190260001029A,0260001029A,415.0,75.32,27.0,610.0,1500.0,1258.0,2981.0,10.98086957,3618.0,909.0,3021.0,190260001029A
753,1,C,Hogar,103.64,14.0,8.141600821428066,25.72788,-100.18008,Hogar Reunión,UT_DENSIDAD,1,0,0,0,7,0,0,1,1.5186345034013602,1186.0,1902600010035,19,026,0001,0035,1902600010035,02600010035,407.0,90.47,49.0,787.0,1034.0,854.0,2398.0,8.429736842,3194.0,568.0,2410.0,1902600010035
754,1,C,Hogar,119.75,15.0,8.743109440679453,25.71732,-100.19217,Hogar Reunión,UT_DENSIDAD,2,0,0,0,2,1,0,1,1.6679649883381924,1327.0,190260001246A,19,026,0001,246A,190260001246A,0260001246A,1366.0,54.2,11.0,1594.0,2708.0,2512.0,7494.0,9.851621622,9092.0,612.0,6796.0,190260001246A
145,1,BC,Hogar,112.5,13.0,6.0,25.66404,-100.21449,Hogar Reunión,UT_DENSIDAD,1,0,1,0,2,0,0,0,2.171825851311953,1227.0,190260001157A,19,026,0001,157A,190260001157A,0260001157A,517.0,66.57,13.0,1132.0,1342.0,1188.0,3188.0,8.58,4322.0,888.0,3454.0,190260001157A
765,1,C,Hogar,94.42,13.0,7.857671934,25.69325,-100.23738,Oficinistas,UT_DENSIDAD,1,0,0,0,1,1,0,0,3.3975797988338194,1267.0,190260001132A,19,026,0001,132A,190260001132A,0260001132A,592.0,39.69,156.0,745.0,2464.0,1948.0,4660.0,10.80885714,5426.0,973.0,4525.0,190260001132A
766,1,C,Base,118.52,15.0,8.686415236048406,25.72372,-100.14054,Hogar Reunión,UT_TRAFICO_VEHICULAR,2,0,0,0,0,0,0,0,2.1055215109126983,332.0,190060174016A,19,006,0174,016A,190060174016A,0060174016A,16.0,3.27,8.0,7.0,444.0,65.0,199.0,9.9725,210.0,0.0,137.0,190060174016A
395,1,C,Hogar,79.55,10.0,4.0,25.67661,-100.24879,Hogar Reunión,UT_DENSIDAD,1,0,0,0,4,0,0,1,2.4206937657920307,1196.0,1902600010317,19,026,0001,0317,1902600010317,02600010317,925.0,77.6,52.0,1923.0,2654.0,2346.0,6240.0,9.124146341,8168.0,1802.0,6424.0,1902600010317
253,1,C,Hogar,117.0,12.0,11.0,25.72968,-100.17269,Hogar Reunión,UT_DENSIDAD,1,0,0,0,9,1,0,2,1.8319468824101075,133.0,1900600010780,19,006,0001,0780,1900600010780,00600010780,1068.0,68.66,19.0,1458.0,2176.0,1980.0,6048.0,8.34025,7510.0,763.0,5476.0,1900600010780
769,1,C,Base,108.8,15.0,8.238392740915264,25.69461,-100.17078,Oficinistas,UT_TRAFICO_VEHICULAR,0,0,0,0,0,0,0,0,2.114249921626984,1407.0,1902600011264,19,026,0001,1264,1902600011264,02600011264,458.0,38.28,8.0,589.0,1064.0,947.0,2813.0,5.800666667,3416.0,309.0,2532.0,1902600011264
152,1,BC,Hogar,102.1,13.0,8.0,25.66861,-100.24023,Hogar Reunión,UT_DENSIDAD,1,1,0,0,1,0,0,1,2.203590538386784,1389.0,1902600010567,19,026,0001,0567,1902600010567,02600010567,815.0,99.51,10.0,1440.0,2084.0,1920.0,5480.0,10.61404255,6938.0,1610.0,5441.0,1902600010567
783,1,C,Hogar,114.47,14.0,8.640786379,25.6989,-100.1506,Hogar Reunión,UT_DENSIDAD,1,1,0,0,0,0,0,0,1.6463500728862972,1381.0,1902600012883,19,026,0001,2883,1902600012883,02600012883,319.0,62.36,22.0,491.0,2738.0,1809.0,4875.0,10.98746667,5386.0,97.0,3794.0,1902600012883
789,1,C,Hogar,100.7,10.66544717954596,7.716081660823506,25.71404,-100.17443,Hogar Reunión,UT_DENSIDAD,1,0,0,0,0,0,0,0,1.5937061681243927,108.0,1900600010348,19,006,0001,0348,1900600010348,00600010348,1889.0,133.34,27.0,2119.0,4988.0,4494.0,13622.0,10.59241379,15754.0,1189.0,11224.0,1900600010348
